"","source","target","weight"
"68",94,93,0.148931314377175
"69",3,4,0.148445477083491
"70",4,3,0.148445477083491
"71",6,0,0.144885435555929
"72",0,6,0.144885435555929
"73",57,40,0.144800935531144
"74",40,57,0.144800935531144
"75",4,6,0.143867540554111
"76",6,4,0.143867540554111
"77",57,43,0.143481459635862
"78",43,57,0.143481459635862
"79",111,110,0.141891072217087
"80",110,111,0.141891072217087
"81",90,91,0.141238172899954
"82",91,90,0.141238172899954
"83",84,85,0.140617042674282
"84",85,84,0.140617042674282
"85",40,37,0.139936258981753
"86",37,40,0.139936258981753
"87",39,43,0.138927221494298
"88",43,39,0.138927221494298
"89",93,88,0.138611906232918
"90",88,93,0.138611906232918
"91",41,42,0.138094860156612
"92",42,41,0.138094860156612
"93",81,66,0.137196427608176
"94",66,81,0.137196427608176
"95",83,70,0.135439872948773
"96",70,83,0.135439872948773
"97",96,91,0.134576813749677
"98",91,96,0.134576813749677
"99",0,5,0.134320533616284
"100",5,0,0.134320533616284
"101",3,6,0.133162250023345
"102",6,3,0.133162250023345
"103",1,5,0.132886464207566
"104",5,1,0.132886464207566
"105",47,39,0.132365885801547
"106",39,47,0.132365885801547
"107",90,88,0.132125589769845
"108",88,90,0.132125589769845
"109",36,37,0.13193296541273
"110",37,36,0.13193296541273
"111",17,59,0.131620853450465
"112",59,17,0.131620853450465
"113",46,2,0.131601698240434
"114",2,46,0.131601698240434
"115",40,49,0.130280025931955
"116",49,40,0.130280025931955
"117",74,59,0.130171109630893
"118",59,74,0.130171109630893
"119",40,48,0.129541818553728
"120",48,40,0.129541818553728
"121",48,41,0.129493251222182
"122",41,48,0.129493251222182
"123",17,12,0.129333407306969
"124",12,17,0.129333407306969
"125",3,0,0.128784547209056
"126",0,3,0.128784547209056
"127",77,59,0.127848524203178
"128",59,77,0.127848524203178
"129",94,91,0.126385988666202
"130",91,94,0.126385988666202
"131",13,6,0.126031082146458
"132",6,13,0.126031082146458
"133",10,2,0.125293183132781
"134",2,10,0.125293183132781
"135",47,42,0.125090336044309
"136",42,47,0.125090336044309
"137",60,58,0.124539791034434
"138",58,60,0.124539791034434
"139",16,0,0.124335698399915
"140",0,16,0.124335698399915
"141",76,66,0.123816556928093
"142",66,76,0.123816556928093
"143",12,8,0.123589169299762
"144",8,12,0.123589169299762
"145",4,13,0.12261783215355
"146",13,4,0.12261783215355
"147",56,48,0.12248915021924
"148",48,56,0.12248915021924
"149",7,0,0.122340736318256
"150",0,7,0.122340736318256
"151",3,1,0.122083832069555
"152",1,3,0.122083832069555
"153",74,68,0.121195290556919
"154",68,74,0.121195290556919
"155",38,42,0.120913177814665
"156",42,38,0.120913177814665
"157",10,0,0.12072423107614
"158",0,10,0.12072423107614
"159",72,66,0.120588189677615
"160",66,72,0.120588189677615
"161",93,92,0.12058671849274
"162",92,93,0.12058671849274
"163",17,58,0.119817720945577
"164",58,17,0.119817720945577
"165",66,62,0.119115938868215
"166",62,66,0.119115938868215
"167",86,89,0.11909543390356
"168",89,86,0.11909543390356
"169",9,4,0.11904112110196
"170",4,9,0.11904112110196
"171",40,46,0.117919035214806
"172",46,40,0.117919035214806
"173",3,5,0.117034502221313
"174",5,3,0.117034502221313
"175",57,54,0.116957241601656
"176",54,57,0.116957241601656
"177",100,97,0.116924803333278
"178",97,100,0.116924803333278
"179",4,58,0.11661385664846
"180",58,4,0.11661385664846
"181",66,59,0.116565686403311
"182",59,66,0.116565686403311
"183",19,2,0.116533543577593
"184",2,19,0.116533543577593
"185",51,40,0.116512179341859
"186",40,51,0.116512179341859
"187",107,109,0.116306315074631
"188",109,107,0.116306315074631
"189",56,40,0.115420721418295
"190",40,56,0.115420721418295
"191",96,95,0.1152833827582
"192",95,96,0.1152833827582
"193",4,16,0.115140132329723
"194",16,4,0.115140132329723
"195",86,88,0.114697040257849
"196",88,86,0.114697040257849
